2023-12-11 08:46:50 ohio 588 elm elm DEC_8_2023 test None 120 1
2023-12-11 08:46:55 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.9536328284033093]
2023-12-11 08:46:56 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.9222672583969225]
2023-12-11 08:46:56 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.8443169391563696]
2023-12-11 08:46:56 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.823322704000828]
2023-12-11 08:46:58 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [1.2841473080800763]
2023-12-11 08:46:59 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [1.0802956918064264]
2023-12-11 08:47:01 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.8632743085522844]
2023-12-11 08:47:02 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.8198639938209294]
2023-12-11 08:47:05 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [1.697715886675366]
2023-12-11 08:47:07 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [1.12530668454964]
2023-12-11 08:47:10 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.8538435204837791]
2023-12-11 08:47:13 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.8090333206817623]
2023-12-11 08:47:17 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [1.9212079843513388]
2023-12-11 08:47:22 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [1.161840888024177]
2023-12-11 08:47:27 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.8677638610036912]
2023-12-11 08:47:32 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.8088265458878673]
2023-12-11 08:47:38 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [1.9066286561589776]
2023-12-11 08:47:45 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [1.184887953743683]
2023-12-11 08:47:51 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.8764721612885592]
2023-12-11 08:47:58 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.8063057108990683]
2023-12-11 08:48:05 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [1.839160789145734]
2023-12-11 08:48:13 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [1.1543583023761483]
2023-12-11 08:48:20 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.8765701156223922]
2023-12-11 08:48:28 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.8026713729270466]
2023-12-11 08:48:37 {'hist': 180, 'neurons': 14112.0, 'l2': 1.0} [1.814652363159162]
2023-12-11 08:48:46 {'hist': 180, 'neurons': 14112.0, 'l2': 10.0} [1.191167143423721]
2023-12-11 08:48:56 {'hist': 180, 'neurons': 14112.0, 'l2': 100.0} [0.8910509244004737]
2023-12-11 08:49:05 {'hist': 180, 'neurons': 14112.0, 'l2': 1000.0} [0.801639400502528]
