2023-12-12 22:08:23 t1dms 2 elm elm DEC_8_2023 test None 120 1
2023-12-12 22:08:23 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [1.0628603275773445]
2023-12-12 22:08:24 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.7964716064777174]
2023-12-12 22:08:24 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.6831353775378863]
2023-12-12 22:08:24 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.6745854258245294]
2023-12-12 22:08:25 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [1.267424599145887]
2023-12-12 22:08:25 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.8515253225649418]
2023-12-12 22:08:26 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.6863508285572769]
2023-12-12 22:08:27 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.6591987658706353]
2023-12-12 22:08:28 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [1.2180338737925969]
2023-12-12 22:08:29 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.8851999995183977]
2023-12-12 22:08:30 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.7064860258367454]
2023-12-12 22:08:31 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.6574440559196929]
2023-12-12 22:08:32 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [1.1868292088285861]
2023-12-12 22:08:33 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.9196971740518988]
2023-12-12 22:08:34 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.7269743842771225]
2023-12-12 22:08:35 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.6594993483378246]
2023-12-12 22:08:37 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [1.2014821882306923]
2023-12-12 22:08:38 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.9362497960899621]
2023-12-12 22:08:39 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.7330603118567949]
2023-12-12 22:08:41 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.6607735111141431]
2023-12-12 22:08:42 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [1.171213874178665]
2023-12-12 22:08:44 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.9552188865192436]
