2023-11-08 17:19:54 ohio 588 elm elm NOV_3_2023 test None 60 1
2023-11-08 17:20:02 {'hist': 180, 'neurons': 2016.0, 'l2': 1.0} [0.7538304199269235]
2023-11-08 17:20:03 {'hist': 180, 'neurons': 2016.0, 'l2': 10.0} [0.7219258870556196]
2023-11-08 17:20:03 {'hist': 180, 'neurons': 2016.0, 'l2': 100.0} [0.6436498182410368]
2023-11-08 17:20:03 {'hist': 180, 'neurons': 2016.0, 'l2': 1000.0} [0.6239904528283285]
2023-11-08 17:20:05 {'hist': 180, 'neurons': 4032.0, 'l2': 1.0} [0.9953134424524196]
2023-11-08 17:20:06 {'hist': 180, 'neurons': 4032.0, 'l2': 10.0} [0.8298338738027953]
2023-11-08 17:20:08 {'hist': 180, 'neurons': 4032.0, 'l2': 100.0} [0.6504637600890787]
2023-11-08 17:20:09 {'hist': 180, 'neurons': 4032.0, 'l2': 1000.0} [0.6127810391256264]
2023-11-08 17:20:12 {'hist': 180, 'neurons': 6048.0, 'l2': 1.0} [1.3648594405058048]
2023-11-08 17:20:14 {'hist': 180, 'neurons': 6048.0, 'l2': 10.0} [0.8878333762580684]
2023-11-08 17:20:17 {'hist': 180, 'neurons': 6048.0, 'l2': 100.0} [0.6463358425653105]
2023-11-08 17:20:20 {'hist': 180, 'neurons': 6048.0, 'l2': 1000.0} [0.6053022249314385]
2023-11-08 17:20:25 {'hist': 180, 'neurons': 8064.0, 'l2': 1.0} [1.4630599852056183]
2023-11-08 17:20:29 {'hist': 180, 'neurons': 8064.0, 'l2': 10.0} [0.8933315918823094]
2023-11-08 17:20:34 {'hist': 180, 'neurons': 8064.0, 'l2': 100.0} [0.6638695020468366]
2023-11-08 17:20:39 {'hist': 180, 'neurons': 8064.0, 'l2': 1000.0} [0.6075538978655294]
2023-11-08 17:20:46 {'hist': 180, 'neurons': 10080.0, 'l2': 1.0} [1.4167556608143752]
2023-11-08 17:20:52 {'hist': 180, 'neurons': 10080.0, 'l2': 10.0} [0.9304534433256619]
2023-11-08 17:20:59 {'hist': 180, 'neurons': 10080.0, 'l2': 100.0} [0.6758550351813605]
2023-11-08 17:21:05 {'hist': 180, 'neurons': 10080.0, 'l2': 1000.0} [0.6045642446319277]
2023-11-08 17:21:13 {'hist': 180, 'neurons': 12096.0, 'l2': 1.0} [1.3242532177448634]
2023-11-08 17:21:20 {'hist': 180, 'neurons': 12096.0, 'l2': 10.0} [0.8849891344992173]
2023-11-08 17:21:28 {'hist': 180, 'neurons': 12096.0, 'l2': 100.0} [0.6689780093920091]
2023-11-08 17:21:36 {'hist': 180, 'neurons': 12096.0, 'l2': 1000.0} [0.6027992812077063]
2023-11-08 17:21:46 {'hist': 180, 'neurons': 14112.0, 'l2': 1.0} [1.2689690132939213]
2023-11-08 17:21:55 {'hist': 180, 'neurons': 14112.0, 'l2': 10.0} [0.8742877177750863]
2023-11-08 17:22:04 {'hist': 180, 'neurons': 14112.0, 'l2': 100.0} [0.6662501920857596]
2023-11-08 17:22:14 {'hist': 180, 'neurons': 14112.0, 'l2': 1000.0} [0.5999425992285848]
2023-11-08 17:22:24 {'hist': 180, 'neurons': 16128.0, 'l2': 1.0} [1.2468386308693518]
2023-11-08 17:22:34 {'hist': 180, 'neurons': 16128.0, 'l2': 10.0} [0.86807524833559]
2023-11-08 17:22:45 {'hist': 180, 'neurons': 16128.0, 'l2': 100.0} [0.6694314222161133]
2023-11-08 17:22:55 {'hist': 180, 'neurons': 16128.0, 'l2': 1000.0} [0.5990668315611456]
2023-11-08 17:23:07 {'hist': 180, 'neurons': 18144.0, 'l2': 1.0} [1.2047950682208302]
2023-11-08 17:23:18 {'hist': 180, 'neurons': 18144.0, 'l2': 10.0} [0.8388898486372652]
2023-11-08 17:23:30 {'hist': 180, 'neurons': 18144.0, 'l2': 100.0} [0.6686877651017034]
