2023-12-14 21:09:49 ohio 591 gp gp DEC_8_2023 test None 120 1
2023-12-14 21:09:56 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8596257311453614]
2023-12-14 21:09:58 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.8596265047309362]
2023-12-14 21:10:00 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.8596342482498941]
2023-12-14 21:10:02 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.8597112888267432]
2023-12-14 21:10:04 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.8603044395530948]
2023-12-14 21:10:05 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.8614114140059417]
2023-12-14 21:10:07 {'hist': 180, 'alpha': 0.00031622776601683794, 'sigma_0': 1.0} [0.8596256729972447]
2023-12-14 21:10:09 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.8596257311453614]
2023-12-14 21:10:11 {'hist': 180, 'alpha': 0.0031622776601683794, 'sigma_0': 1.0} [0.8596259168429587]
2023-12-14 21:10:13 {'hist': 180, 'alpha': 0.010000000000000002, 'sigma_0': 1.0} [0.8596265047309362]
2023-12-14 21:10:24 ({'RMSE': 46.97193237015041, 'MAPE': 33.48132716398379, 'MASE': 0.9237978124009331, 'TG': 7.0, 'CG_EGA_AP': 0.7549909255898367, 'CG_EGA_BE': 0.1287114337568058, 'CG_EGA_EP': 0.11629764065335753, 'CG_EGA_AP_hypo': 0.007042253521126761, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.9929577464788732, 'CG_EGA_AP_eu': 0.8093800539083558, 'CG_EGA_BE_eu': 0.14242587601078166, 'CG_EGA_EP_eu': 0.04819407008086253, 'CG_EGA_AP_hyper': 0.7620052770448549, 'CG_EGA_BE_hyper': 0.11926121372031662, 'CG_EGA_EP_hyper': 0.1187335092348285, 'P_EGA_A+B': 0.9258802177858438, 'P_EGA_A': 0.4998185117967333, 'P_EGA_B': 0.4260617059891107, 'P_EGA_C': 0.001379310344827586, 'P_EGA_D': 0.07049001814882032, 'P_EGA_E': 0.0022504537205081674, 'R_EGA_A+B': 0.817568058076225, 'R_EGA_A': 0.5563702359346642, 'R_EGA_B': 0.2611978221415608, 'R_EGA_uC': 0.039927404718693285, 'R_EGA_lC': 0.03274047186932849, 'R_EGA_uD': 0.028312159709618874, 'R_EGA_lD': 0.03673321234119782, 'R_EGA_uE': 0.024174228675136116, 'R_EGA_lE': 0.020544464609800365}, {'RMSE': 0.2563925753173144, 'MAPE': 0.3119424373984632, 'MASE': 0.004248403527602624, 'TG': 2.449489742783178, 'CG_EGA_AP': 0.008447296236828366, 'CG_EGA_BE': 0.004829632632589439, 'CG_EGA_EP': 0.003776350432998898, 'CG_EGA_AP_hypo': 0.0, 'CG_EGA_BE_hypo': 0.0, 'CG_EGA_EP_hypo': 0.0, 'CG_EGA_AP_eu': 0.009885093341198562, 'CG_EGA_BE_eu': 0.0054487455605361865, 'CG_EGA_EP_eu': 0.004492219225013404, 'CG_EGA_AP_hyper': 0.008072326406743211, 'CG_EGA_BE_hyper': 0.006332453825857524, 'CG_EGA_EP_hyper': 0.0030083784303407343, 'P_EGA_A+B': 0.0006244882226528276, 'P_EGA_A': 0.004659689738186915, 'P_EGA_B': 0.004364178109673796, 'P_EGA_C': 0.0005807622504537206, 'P_EGA_D': 0.0012447497785468026, 'P_EGA_E': 0.00014519056261343006, 'R_EGA_A+B': 0.00930976107529864, 'R_EGA_A': 0.012954546078370582, 'R_EGA_B': 0.004443163338831023, 'R_EGA_uC': 0.0052999527400200315, 'R_EGA_lC': 0.004216779885722717, 'R_EGA_uD': 0.0020144373031595803, 'R_EGA_lD': 0.0030833772169285355, 'R_EGA_uE': 0.002425160521014892, 'R_EGA_lE': 0.0022679490891924945})
