2023-12-14 20:50:31 t1dms 10 gp gp DEC_8_2023 test None 60 1
2023-12-14 20:50:31 {'hist': 180, 'alpha': 0.001, 'sigma_0': 1.0} [0.5135621506873911]
2023-12-14 20:50:32 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.5135601770951277]
2023-12-14 20:50:32 {'hist': 180, 'alpha': 0.1, 'sigma_0': 1.0} [0.5138522080085478]
2023-12-14 20:50:33 {'hist': 180, 'alpha': 1.0, 'sigma_0': 1.0} [0.5159514855816082]
2023-12-14 20:50:33 {'hist': 180, 'alpha': 10.0, 'sigma_0': 1.0} [0.5197982175407233]
2023-12-14 20:50:34 {'hist': 180, 'alpha': 100.0, 'sigma_0': 1.0} [0.5257137757794074]
2023-12-14 20:50:34 {'hist': 180, 'alpha': 0.0031622776601683794, 'sigma_0': 1.0} [0.513560172786022]
2023-12-14 20:50:35 {'hist': 180, 'alpha': 0.01, 'sigma_0': 1.0} [0.5135601770951277]
2023-12-14 20:50:35 {'hist': 180, 'alpha': 0.0316227766016838, 'sigma_0': 1.0} [0.5136002950649957]
2023-12-14 20:50:36 {'hist': 180, 'alpha': 0.10000000000000002, 'sigma_0': 1.0} [0.5138522080085478]
2023-12-14 20:50:39 ({'RMSE': 15.662340456544769, 'MAPE': 9.742602541677154, 'MASE': 0.609571918447832, 'TG': 40.0, 'CG_EGA_AP': 0.9324070857936784, 'CG_EGA_BE': 0.040569642236887804, 'CG_EGA_EP': 0.027023271969433833, 'CG_EGA_AP_hypo': 0.34509803921568627, 'CG_EGA_BE_hypo': 0.01764705882352941, 'CG_EGA_EP_hypo': 0.6372549019607843, 'CG_EGA_AP_eu': 0.9536778574122972, 'CG_EGA_BE_eu': 0.04156921916258016, 'CG_EGA_EP_eu': 0.004752923425122596, 'CG_EGA_AP_hyper': 0.9603174603174602, 'CG_EGA_BE_hyper': 0.03809523809523809, 'CG_EGA_EP_hyper': 0.0015873015873015873, 'P_EGA_A+B': 0.9777005904828066, 'P_EGA_A': 0.9006599513720042, 'P_EGA_B': 0.07704063911080236, 'P_EGA_C': 0.0, 'P_EGA_D': 0.022299409517193468, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.954289683918027, 'R_EGA_A': 0.7529003126085446, 'R_EGA_B': 0.20138937130948245, 'R_EGA_uC': 0.016325112886418896, 'R_EGA_lC': 0.004793331017714484, 'R_EGA_uD': 0.0012504341785342132, 'R_EGA_lD': 0.018687044112539075, 'R_EGA_uE': 0.0014588398749565822, 'R_EGA_lE': 0.003195554011809656}, {'RMSE': 0.04318267214393878, 'MAPE': 0.019843348157740557, 'MASE': 0.001509045870999843, 'TG': 0.0, 'CG_EGA_AP': 0.0023822755400461832, 'CG_EGA_BE': 0.0026122397606062066, 'CG_EGA_EP': 0.0007417213096235713, 'CG_EGA_AP_hypo': 0.020935447553002574, 'CG_EGA_BE_hypo': 0.007336583111321454, 'CG_EGA_EP_hypo': 0.021479315980594754, 'CG_EGA_AP_eu': 0.002628630915154189, 'CG_EGA_BE_eu': 0.0027138597885484643, 'CG_EGA_EP_eu': 0.00038468649668749785, 'CG_EGA_AP_hyper': 1.1102230246251565e-16, 'CG_EGA_BE_hyper': 0.003174603174603174, 'CG_EGA_EP_hyper': 0.003174603174603175, 'P_EGA_A+B': 0.0008620822261890327, 'P_EGA_A': 0.001223120309945049, 'P_EGA_B': 0.0016643485308386159, 'P_EGA_C': 0.0, 'P_EGA_D': 0.0008620822261890142, 'P_EGA_E': 0.0, 'R_EGA_A+B': 0.0027665589095852575, 'R_EGA_A': 0.006223546065835355, 'R_EGA_B': 0.0038453219876618374, 'R_EGA_uC': 0.0013718942450942346, 'R_EGA_lC': 0.0007084431418677021, 'R_EGA_uD': 0.00017016253857472582, 'R_EGA_lD': 0.0013789116527460382, 'R_EGA_uE': 0.00013893713094824593, 'R_EGA_lE': 0.0001389371309482459})
