2023-12-11 00:46:59 ohio 588 svr svr DEC_8_2023 test None 30 1
2023-12-11 00:47:07 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 1e-05} [0.9506585014403495]
2023-12-11 00:47:10 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.0001} [0.8407320841916551]
2023-12-11 00:47:13 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.001, 'gamma': 0.001} [0.6169238725296252]
2023-12-11 00:47:16 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 1e-05} [0.950568248287298]
2023-12-11 00:47:20 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.0001} [0.8408686017478821]
2023-12-11 00:47:23 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.01, 'gamma': 0.001} [0.6168736580373114]
2023-12-11 00:47:26 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 1e-05} [0.9515923257241183]
2023-12-11 00:47:29 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.0001} [0.840103299795697]
2023-12-11 00:47:31 {'hist': 180, 'kernel': 'rbf', 'C': 0.01, 'epsilon': 0.1, 'gamma': 0.001} [0.6189409050009761]
2023-12-11 00:47:35 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 1e-05} [0.5386619193599053]
2023-12-11 00:47:38 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.0001} [0.4909138630645451]
2023-12-11 00:47:41 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.001, 'gamma': 0.001} [0.48211218532922534]
2023-12-11 00:47:44 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 1e-05} [0.5386031176784767]
2023-12-11 00:47:48 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.0001} [0.4914248232041673]
2023-12-11 00:47:51 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.01, 'gamma': 0.001} [0.48185560121819215]
2023-12-11 00:47:54 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 1e-05} [0.539729278376129]
2023-12-11 00:47:56 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.0001} [0.4917646601527695]
2023-12-11 00:47:59 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.1, 'gamma': 0.001} [0.47964975639205065]
2023-12-11 00:48:03 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 1e-05} [0.4907788022850805]
2023-12-11 00:48:16 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.0001} [0.4945973142166672]
2023-12-11 00:49:27 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.001, 'gamma': 0.001} [0.6079056454860827]
2023-12-11 00:49:31 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 1e-05} [0.4905922045796166]
2023-12-11 00:49:44 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.0001} [0.49423329684338807]
2023-12-11 00:50:45 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.01, 'gamma': 0.001} [0.606121409038489]
2023-12-11 00:50:49 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 1e-05} [0.48927696448316205]
2023-12-11 00:50:58 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.0001} [0.49164294764548483]
2023-12-11 00:51:44 {'hist': 180, 'kernel': 'rbf', 'C': 1000.0, 'epsilon': 0.1, 'gamma': 0.001} [0.584531916979533]
2023-12-11 00:51:47 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.5147098282943674]
2023-12-11 00:51:50 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0316227766016838, 'gamma': 0.001} [0.48686009392537294]
2023-12-11 00:51:53 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.0316227766016838, 'gamma': 0.0031622776601683794} [0.47356782944858306]
2023-12-11 00:51:56 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.1, 'gamma': 0.00031622776601683794} [0.5158292675245536]
2023-12-11 00:51:58 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.1, 'gamma': 0.001} [0.48735745082418214]
2023-12-11 00:52:01 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.1, 'gamma': 0.0031622776601683794} [0.473850860810591]
2023-12-11 00:52:02 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.316227766016838, 'gamma': 0.00031622776601683794} [0.5250475352582711]
2023-12-11 00:52:04 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.316227766016838, 'gamma': 0.001} [0.4922933685943371]
2023-12-11 00:52:05 {'hist': 180, 'kernel': 'rbf', 'C': 0.1778279410038923, 'epsilon': 0.316227766016838, 'gamma': 0.0031622776601683794} [0.4749108159443478]
2023-12-11 00:52:08 {'hist': 180, 'kernel': 'rbf', 'C': 3.1622776601683795, 'epsilon': 0.0316227766016838, 'gamma': 0.00031622776601683794} [0.4867279059905087]
