model,experiment,ph,patient,metric,calculation,0
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP,mean,0.8431654676258992
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP,std,0.0032627228828071
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_eu,mean,0.8885402455661666
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_eu,std,0.004495840942233031
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_hyper,mean,0.7968847352024923
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_hyper,std,0.0024219945565297158
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_hypo,mean,0.5424657534246575
ar,DEC_8_2023,30,ohio_559,CG_EGA_AP_hypo,std,0.036346573044990664
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE,mean,0.11047162270183852
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE,std,0.0033970470600920523
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_eu,mean,0.08335607094133697
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_eu,std,0.004594122302996652
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_hyper,mean,0.1588785046728972
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_hyper,std,0.0020768431983385267
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_hypo,mean,0.01643835616438356
ar,DEC_8_2023,30,ohio_559,CG_EGA_BE_hypo,std,0.00547945205479452
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP,mean,0.04636290967226219
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP,std,0.0013845330196393896
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_eu,mean,0.0281036834924965
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_eu,std,0.000668346450964
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_hyper,mean,0.0442367601246106
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_hyper,std,0.0008307372793354
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_hypo,mean,0.4410958904109588
ar,DEC_8_2023,30,ohio_559,CG_EGA_EP_hypo,std,0.0381599678826962
ar,DEC_8_2023,30,ohio_559,MAPE,mean,10.036732185980222
ar,DEC_8_2023,30,ohio_559,MAPE,std,0.1030189298450341
ar,DEC_8_2023,30,ohio_559,MASE,mean,0.8878093822887199
ar,DEC_8_2023,30,ohio_559,MASE,std,0.0056301343723737
ar,DEC_8_2023,30,ohio_559,P_EGA_A,mean,0.9167865707434052
ar,DEC_8_2023,30,ohio_559,P_EGA_A,std,0.0022665782380108
ar,DEC_8_2023,30,ohio_559,P_EGA_A+B,mean,0.984732214228617
ar,DEC_8_2023,30,ohio_559,P_EGA_A+B,std,0.0011133803578884
ar,DEC_8_2023,30,ohio_559,P_EGA_B,mean,0.0679456434852118
ar,DEC_8_2023,30,ohio_559,P_EGA_B,std,0.001263899944112
ar,DEC_8_2023,30,ohio_559,P_EGA_C,mean,0.001199040767386
ar,DEC_8_2023,30,ohio_559,P_EGA_C,std,0.0
ar,DEC_8_2023,30,ohio_559,P_EGA_D,mean,0.0140687450039968
ar,DEC_8_2023,30,ohio_559,P_EGA_D,std,0.0011133803578884
ar,DEC_8_2023,30,ohio_559,P_EGA_E,mean,0.0
ar,DEC_8_2023,30,ohio_559,P_EGA_E,std,0.0
ar,DEC_8_2023,30,ohio_559,RMSE,mean,21.714884105619213
ar,DEC_8_2023,30,ohio_559,RMSE,std,0.0456514383010628
ar,DEC_8_2023,30,ohio_559,R_EGA_A,mean,0.6460431654676259
ar,DEC_8_2023,30,ohio_559,R_EGA_A,std,0.0091337214114057
ar,DEC_8_2023,30,ohio_559,R_EGA_A+B,mean,0.8564348521183053
ar,DEC_8_2023,30,ohio_559,R_EGA_A+B,std,0.0035605207755907
ar,DEC_8_2023,30,ohio_559,R_EGA_B,mean,0.2103916866506794
ar,DEC_8_2023,30,ohio_559,R_EGA_B,std,0.0058336889817806
ar,DEC_8_2023,30,ohio_559,R_EGA_lC,mean,0.0414868105515587
ar,DEC_8_2023,30,ohio_559,R_EGA_lC,std,0.0021209431113383
ar,DEC_8_2023,30,ohio_559,R_EGA_lD,mean,0.0204636290967226
ar,DEC_8_2023,30,ohio_559,R_EGA_lD,std,0.0005302357778345
ar,DEC_8_2023,30,ohio_559,R_EGA_lE,mean,0.014388489208633
ar,DEC_8_2023,30,ohio_559,R_EGA_lE,std,0.0005652332383585
ar,DEC_8_2023,30,ohio_559,R_EGA_uC,mean,0.0415667466027178
ar,DEC_8_2023,30,ohio_559,R_EGA_uC,std,0.001263899944112
ar,DEC_8_2023,30,ohio_559,R_EGA_uD,mean,0.008872901678657
ar,DEC_8_2023,30,ohio_559,R_EGA_uD,std,0.0005302357778345
ar,DEC_8_2023,30,ohio_559,R_EGA_uE,mean,0.0167865707434052
ar,DEC_8_2023,30,ohio_559,R_EGA_uE,std,0.0004378277837771
ar,DEC_8_2023,30,ohio_559,TG,mean,5.0
ar,DEC_8_2023,30,ohio_559,TG,std,0.0
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP,mean,0.825253312548714
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP,std,0.0186746291851191
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_eu,mean,0.8465206185567011
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_eu,std,0.0156103462479153
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hyper,mean,0.7989959839357429
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hyper,std,0.0237881897106561
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hypo,mean,0.4444444444444445
ar,DEC_8_2023,30,ohio_563,CG_EGA_AP_hypo,std,5.551115123125783e-17
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE,mean,0.1363990646921278
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE,std,0.0171862379661611
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_eu,mean,0.121520618556701
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_eu,std,0.0141670547961977
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hyper,mean,0.1618473895582329
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hyper,std,0.0218072658959651
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hypo,mean,0.0111111111111111
ar,DEC_8_2023,30,ohio_563,CG_EGA_BE_hypo,std,0.0222222222222222
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP,mean,0.0383476227591582
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP,std,0.0014911244325572
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_eu,mean,0.0319587628865979
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_eu,std,0.0014465170309693
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hyper,mean,0.0391566265060241
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hyper,std,0.002008032128514
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hypo,mean,0.5444444444444445
ar,DEC_8_2023,30,ohio_563,CG_EGA_EP_hypo,std,0.0222222222222222
ar,DEC_8_2023,30,ohio_563,MAPE,mean,8.345617685865843
ar,DEC_8_2023,30,ohio_563,MAPE,std,0.0247397742364533
ar,DEC_8_2023,30,ohio_563,MASE,mean,0.8594461379065693
ar,DEC_8_2023,30,ohio_563,MASE,std,0.0030443278377319
ar,DEC_8_2023,30,ohio_563,P_EGA_A,mean,0.9526110678098209
ar,DEC_8_2023,30,ohio_563,P_EGA_A,std,0.00136343380238
ar,DEC_8_2023,30,ohio_563,P_EGA_A+B,mean,0.995323460639127
